timestamp_index,Recommend.Other,Recommend.All,Recommend.MA,RSI,RSI[1],Stoch.K,Stoch.D,Stoch.K[1],Stoch.D[1],CCI20,CCI20[1],ADX,ADX+DI,ADX-DI,ADX+DI[1],ADX-DI[1],AO,AO[1],Mom,Mom[1],MACD.macd,MACD.signal,Rec.Stoch.RSI,Stoch.RSI.K,Rec.WR,W.R,Rec.BBPower,BBPower,Rec.UO,UO,close,EMA5,SMA5,EMA10,SMA10,EMA20,SMA20,EMA30,SMA30,EMA50,SMA50,EMA100,SMA100,EMA200,SMA200,Rec.Ichimoku,Ichimoku.BLine,Rec.VWMA,VWMA,Rec.HullMA9,HullMA9,Pivot.M.Classic.S3,Pivot.M.Classic.S2,Pivot.M.Classic.S1,Pivot.M.Classic.Middle,Pivot.M.Classic.R1,Pivot.M.Classic.R2,Pivot.M.Classic.R3,Pivot.M.Fibonacci.S3,Pivot.M.Fibonacci.S2,Pivot.M.Fibonacci.S1,Pivot.M.Fibonacci.Middle,Pivot.M.Fibonacci.R1,Pivot.M.Fibonacci.R2,Pivot.M.Fibonacci.R3,Pivot.M.Camarilla.S3,Pivot.M.Camarilla.S2,Pivot.M.Camarilla.S1,Pivot.M.Camarilla.Middle,Pivot.M.Camarilla.R1,Pivot.M.Camarilla.R2,Pivot.M.Camarilla.R3,Pivot.M.Woodie.S3,Pivot.M.Woodie.S2,Pivot.M.Woodie.S1,Pivot.M.Woodie.Middle,Pivot.M.Woodie.R1,Pivot.M.Woodie.R2,Pivot.M.Woodie.R3,Pivot.M.Demark.S1,Pivot.M.Demark.Middle,Pivot.M.Demark.R1,open,P.SAR,BB.lower,BB.upper,AO[2],volume,change,low,high,EXCHANGE,SYMBOL,INTERVAL,SCREEN,fecha,RECOMMENDATION,BUY,SELL,NEUTRAL,RECOMMENDATION,BUY,SELL,NEUTRAL,COMPUTE,EMA10,SMA10,EMA20,SMA20,EMA30,SMA30,EMA50,SMA50,EMA100,SMA100,EMA200,SMA200,Ichimoku,VWMA,HullMA,RECOMMENDATION,BUY,SELL,NEUTRAL,COMPUTE,RSI,STOCH.K,CCI,ADX,AO,Mom,MACD,Stoch.RSI,W%R,BBP,UO
1711039822797240.0,-0.09090909,0.02121212,0.13333333,51.93413262,53.07120378,53.7037037,48.51851852,51.85185185,38.88888889,-19.87767584,-16.38910917,12.4816522,21.61631723,22.62340229,21.86507779,22.88375238,-0.16147059,-0.12852941,0,0.2,0.16307967,0.27457338,0,48.25878693,0,-50,1,-0.04432642,0,47.39326816,561.2,561.1929678,561.12,561.2099008,561.28,561.17505971,561.31,560.95511043,561.50666667,560.44091887,560.302,559.93555895,558.653,559.99360891,560.4245,0,561.7,-1,561.38772491,-1,561.2262963,420.6,479.6,518.2,538.6,577.2,597.6,656.6,479.6,502.138,516.062,538.6,561.138,575.062,597.6,540.575,545.98333333,551.39166667,538.6,562.20833333,567.61666667,573.025,468.2,484.1,527.2,543.1,586.2,602.1,645.2,528.4,543.7,587.4,561.2,561.80334341,560.36363855,562.25636145,-0.02264706,5.323,-0.01781578,561.2,561.2,BINANCE,BNBUSDT,1m,crypto,2024-03-21 13:50:22.797240,NEUTRAL,9,8,9,BUY,8,6,1,,SELL,SELL,BUY,SELL,BUY,SELL,BUY,BUY,BUY,BUY,BUY,BUY,NEUTRAL,SELL,SELL,NEUTRAL,1,2,8,,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,SELL,SELL,NEUTRAL,NEUTRAL,BUY,NEUTRAL
1711039883340533.0,-0.09090909,0.42121212,0.93333333,55.96366273,55.96366273,66.66666667,59.87654321,61.11111111,50.98765432,55.76679341,42.93381038,12.73075893,25.5600612,21.17775712,25.5600612,21.17775712,0.03029412,-0.10176471,-0.2,0.4,0.20597618,0.26595935,0,66.00841303,0,-27.77777778,0,0.54976103,0,49.60212148,561.6,561.41753409,561.38,561.34033206,561.3,561.24999734,561.295,561.02085773,561.56,560.50144415,560.384,559.97628212,558.684,560.0135334,560.416,0,561.7,1,561.32626235,1,561.58481481,420.6,479.6,518.2,538.6,577.2,597.6,656.6,479.6,502.138,516.062,538.6,561.138,575.062,597.6,540.575,545.98333333,551.39166667,538.6,562.20833333,567.61666667,573.025,468.2,484.1,527.2,543.1,586.2,602.1,645.2,528.4,543.7,587.4,561.6,560.332,560.44065815,562.14934185,-0.12852941,0.503,0,561.6,561.6,BINANCE,BNBUSDT,1m,crypto,2024-03-21 13:51:23.340533,BUY,15,2,9,STRONG_BUY,14,0,1,,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,NEUTRAL,BUY,BUY,NEUTRAL,1,2,8,,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,BUY,SELL,SELL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
1711039944028000.0,-0.18181818,-0.09090909,0,49.40502567,49.40502567,50,55.55555556,55.55555556,56.17283951,-51.39035551,-10.91269841,11.4579906,23.1685192,22.31510068,23.1685192,22.31510068,-0.06558824,-0.01235294,-0.9,-0.8,0.12741996,0.23059335,0,39.78955534,0,-61.11111111,1,-0.41040891,0,50.91466817,561,561.14502272,561.24,561.1891973,561.15,561.17448739,561.225,560.98329979,561.53,560.49838867,560.432,559.98490785,558.706,560.01743824,560.3965,0,561.7,-1,561.27053481,-1,561.28888889,420.6,479.6,518.2,538.6,577.2,597.6,656.6,479.6,502.138,516.062,538.6,561.138,575.062,597.6,540.575,545.98333333,551.39166667,538.6,562.20833333,567.61666667,573.025,468.2,484.1,527.2,543.1,586.2,602.1,645.2,528.4,543.7,587.4,561,560.36336,560.40311193,562.04688807,-0.10176471,0.034,0,561,561,BINANCE,BNBUSDT,1m,crypto,2024-03-21 13:52:24.028,NEUTRAL,8,10,8,NEUTRAL,7,7,1,,SELL,SELL,SELL,SELL,BUY,SELL,BUY,BUY,BUY,BUY,BUY,BUY,NEUTRAL,SELL,SELL,SELL,1,3,7,,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,SELL,SELL,SELL,NEUTRAL,NEUTRAL,BUY,NEUTRAL
1711040004473221.0,0.09090909,0.04545455,0,49.35241382,50.44736155,40.74074074,49.38271605,51.85185185,56.17283951,-40.96834264,-76.36738906,11.79460029,21.24717394,25.59823706,21.48473534,25.88444703,-0.20382353,-0.10823529,-0.4,-0.8,0.10807972,0.20736698,0,25.50953793,0,-61.11111111,1,-0.37626887,0,53.26381417,561,561.11890404,561.2,561.16967383,561.12,561.16648632,561.175,560.9904126,561.51333333,560.52182749,560.492,560.00694967,558.735,560.0282001,560.38,0,561.7,-1,561.17531022,-1,561.14888889,420.6,479.6,518.2,538.6,577.2,597.6,656.6,479.6,502.138,516.062,538.6,561.138,575.062,597.6,540.575,545.98333333,551.39166667,538.6,562.20833333,567.61666667,573.025,468.2,484.1,527.2,543.1,586.2,602.1,645.2,528.4,543.7,587.4,561,560.3940928,560.45701671,561.89298329,-0.01235294,0.025,-0.01782214,561,561,BINANCE,BNBUSDT,1m,crypto,2024-03-21 13:53:24.473221,NEUTRAL,9,8,9,NEUTRAL,7,7,1,,SELL,SELL,SELL,SELL,BUY,SELL,BUY,BUY,BUY,BUY,BUY,BUY,NEUTRAL,SELL,SELL,NEUTRAL,2,1,8,,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,BUY,SELL,NEUTRAL,NEUTRAL,BUY,NEUTRAL
1711040065079065.0,-0.18181818,0.37575758,0.93333333,57.91673833,57.91673833,74.07407407,61.11111111,57.40740741,54.9382716,139.81868898,84.79532164,11.44787003,27.6473281,23.51789694,27.6473281,23.51789694,-0.05882353,-0.12705882,0.4,0.5,0.21267172,0.21991511,0,69.29655818,0,-11.11111111,0,0.99993281,0,60.80448337,561.9,561.57926936,561.5,561.4363447,561.25,561.31389579,561.24,561.10341408,561.57,560.6097835,560.58,560.06190469,558.779,560.05569109,560.3855,0,561.7,1,561.20051451,1,561.64444444,420.6,479.6,518.2,538.6,577.2,597.6,656.6,479.6,502.138,516.062,538.6,561.138,575.062,597.6,540.575,545.98333333,551.39166667,538.6,562.20833333,567.61666667,573.025,468.2,484.1,527.2,543.1,586.2,602.1,645.2,528.4,543.7,587.4,561.9,560.4,560.4144093,562.0655907,-0.10823529,1.712,0,561.9,561.9,BINANCE,BNBUSDT,1m,crypto,2024-03-21 13:54:25.079065,BUY,14,2,10,STRONG_BUY,14,0,1,,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,NEUTRAL,BUY,BUY,SELL,0,2,9,,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,SELL,SELL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
1711040125472546.0,0.18181818,0.55757576,0.93333333,61.79309835,61.79309835,93.26599327,75.64534231,76.26262626,61.84062851,184.34343434,196.90154923,12.64655993,31.77779999,21.8450004,31.77779999,21.8450004,0.08617647,-0.01617647,1.8,0.9,0.30662511,0.24363887,0,96.14993886,0,-4.54545455,0,1.59177914,0,62.46319839,562.4,561.96395735,561.76,561.68593492,561.48,561.46041818,561.33,561.21724168,561.61,560.69882698,560.666,560.11790854,558.823,560.08394317,560.3965,0,561.7,1,561.34383786,1,562.25851852,420.6,479.6,518.2,538.6,577.2,597.6,656.6,479.6,502.138,516.062,538.6,561.138,575.062,597.6,540.575,545.98333333,551.39166667,538.6,562.20833333,567.61666667,573.025,468.2,484.1,527.2,543.1,586.2,602.1,645.2,528.4,543.7,587.4,562.4,560.484,560.28290879,562.37709121,-0.12705882,0.399,0,562.4,562.4,BINANCE,BNBUSDT,1m,crypto,2024-03-21 13:55:25.472546,STRONG_BUY,17,1,8,STRONG_BUY,14,0,1,,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,NEUTRAL,BUY,BUY,BUY,3,1,7,,NEUTRAL,NEUTRAL,SELL,NEUTRAL,BUY,BUY,BUY,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
1711040186823310.0,0.09090909,0.44545455,0.8,56.05886605,55.21990649,78.78787879,79.74186308,84.17508418,72.61503928,96.95409695,128.13620072,13.06633872,29.49362256,20.27478922,29.81979774,20.4990117,0.11117647,0.035,1.2,1.2,0.26865099,0.24098318,0,73.31590067,0,-27.27272727,0,0.65417804,0,56.57634736,561.9,561.8093049,561.82,561.63559965,561.54,561.45058244,561.35,561.22507833,561.58,560.72332511,560.73,560.14155156,558.85,560.09610264,560.395,0,561.4,1,561.38651282,-1,562.1962963,420.6,479.6,518.2,538.6,577.2,597.6,656.6,479.6,502.138,516.062,538.6,561.138,575.062,597.6,540.575,545.98333333,551.39166667,538.6,562.20833333,567.61666667,573.025,468.2,484.1,527.2,543.1,586.2,602.1,645.2,528.4,543.7,587.4,561.9,560.56464,560.381496,562.318504,-0.01617647,0.101,0.01779993,561.9,561.9,BINANCE,BNBUSDT,1m,crypto,2024-03-21 13:56:26.823310,BUY,14,1,11,STRONG_BUY,13,1,1,,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,NEUTRAL,BUY,SELL,NEUTRAL,1,0,10,,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,BUY,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
1711040247144606.0,-0.18181818,0.30909091,0.8,57.30253872,58.39716592,78.78787879,82.09876543,83.33333333,81.25701459,110.75268817,135.31762436,13.69750763,28.38981978,18.81810138,28.70364468,19.02611922,0.40176471,0.15382353,1,1.5,0.30776886,0.25816937,0,68.64952106,-1,-18.18181818,0,0.83011179,0,56.13556628,562.1,561.97286993,562.08,561.76466417,561.67,561.53828207,561.43,561.29963102,561.57333333,560.78861571,560.824,560.18615567,558.897,560.11899729,560.3985,0,561.4,1,561.46947542,-1,562.32111111,420.6,479.6,518.2,538.6,577.2,597.6,656.6,479.6,502.138,516.062,538.6,561.138,575.062,597.6,540.575,545.98333333,551.39166667,538.6,562.20833333,567.61666667,573.025,468.2,484.1,527.2,543.1,586.2,602.1,645.2,528.4,543.7,587.4,562.1,560.6420544,560.40608594,562.45391406,0.035,0.018,-0.01778726,562.1,562.1,BINANCE,BNBUSDT,1m,crypto,2024-03-21 13:57:27.144606,BUY,14,4,8,STRONG_BUY,13,1,1,,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,NEUTRAL,BUY,SELL,SELL,1,3,7,,NEUTRAL,NEUTRAL,SELL,NEUTRAL,NEUTRAL,SELL,BUY,NEUTRAL,SELL,NEUTRAL,NEUTRAL
1711040307494886.0,0,0.4,0.8,61.35039683,61.35039683,92.67676768,86.48989899,83.45959596,83.65600449,160.90225564,159.84555985,14.6535587,28.99160874,17.84270518,28.99160874,17.84270518,0.64470588,0.45294118,1.3,1.5,0.38684083,0.29028543,0,90.71750683,0,-4.16666667,0,1.44621827,0,66.14824821,562.6,562.2930244,562.32,561.99092358,561.85,561.68248196,561.555,561.4137027,561.58,560.8784893,560.938,560.2436595,558.95,560.1486095,560.3925,0,561.5,1,561.5950698,-1,562.63259259,420.6,479.6,518.2,538.6,577.2,597.6,656.6,479.6,502.138,516.062,538.6,561.138,575.062,597.6,540.575,545.98333333,551.39166667,538.6,562.20833333,567.61666667,573.025,468.2,484.1,527.2,543.1,586.2,602.1,645.2,528.4,543.7,587.4,562.6,560.76553114,560.41224018,562.69775982,0.15382353,0.088,0,562.6,562.6,BINANCE,BNBUSDT,1m,crypto,2024-03-21 13:58:27.494886,BUY,14,2,10,STRONG_BUY,13,1,1,,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,NEUTRAL,BUY,SELL,NEUTRAL,1,1,9,,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,SELL,BUY,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
1711040368102018.0,0,0.4,0.8,62.77332641,62.77332641,98.61111111,92.04545455,94.06565657,86.95286195,160.28271774,173.23420074,15.55160863,29.13230946,17.26448298,29.13230946,17.26448298,0.74205882,0.65323529,1.5,1.5,0.44140611,0.32306227,0,99.04016542,0,0,0,1.53349321,0,66.87927807,562.8,562.50646071,562.44,562.16778045,562.02,561.80614581,561.65,561.51521199,561.57666667,560.96137822,561.056,560.29816208,559,560.17696175,560.385,0,561.55,1,561.64879089,-1,562.90111111,420.6,479.6,518.2,538.6,577.2,597.6,656.6,479.6,502.138,516.062,538.6,561.138,575.062,597.6,540.575,545.98333333,551.39166667,538.6,562.20833333,567.61666667,573.025,468.2,484.1,527.2,543.1,586.2,602.1,645.2,528.4,543.7,587.4,562.8,560.92828865,560.37328547,562.92671453,0.45294118,0.011,0,562.8,562.8,BINANCE,BNBUSDT,1m,crypto,2024-03-21 13:59:28.102018,BUY,14,2,10,STRONG_BUY,13,1,1,,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,BUY,NEUTRAL,BUY,SELL,NEUTRAL,1,1,9,,NEUTRAL,NEUTRAL,SELL,NEUTRAL,NEUTRAL,NEUTRAL,BUY,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL
