Index,Recommend.Other,Recommend.All,Recommend.MA,RSI,RSI[1],Stoch.K,Stoch.D,Stoch.K[1],Stoch.D[1],CCI20,CCI20[1],ADX,ADX+DI,ADX-DI,ADX+DI[1],ADX-DI[1],AO,AO[1],Mom,Mom[1],MACD.macd,MACD.signal,Rec.Stoch.RSI,Stoch.RSI.K,Rec.WR,W.R,Rec.BBPower,BBPower,Rec.UO,UO,close,EMA5,SMA5,EMA10,SMA10,EMA20,SMA20,EMA30,SMA30,EMA50,SMA50,EMA100,SMA100,EMA200,SMA200,Rec.Ichimoku,Ichimoku.BLine,Rec.VWMA,VWMA,Rec.HullMA9,HullMA9,Pivot.M.Classic.S3,Pivot.M.Classic.S2,Pivot.M.Classic.S1,Pivot.M.Classic.Middle,Pivot.M.Classic.R1,Pivot.M.Classic.R2,Pivot.M.Classic.R3,Pivot.M.Fibonacci.S3,Pivot.M.Fibonacci.S2,Pivot.M.Fibonacci.S1,Pivot.M.Fibonacci.Middle,Pivot.M.Fibonacci.R1,Pivot.M.Fibonacci.R2,Pivot.M.Fibonacci.R3,Pivot.M.Camarilla.S3,Pivot.M.Camarilla.S2,Pivot.M.Camarilla.S1,Pivot.M.Camarilla.Middle,Pivot.M.Camarilla.R1,Pivot.M.Camarilla.R2,Pivot.M.Camarilla.R3,Pivot.M.Woodie.S3,Pivot.M.Woodie.S2,Pivot.M.Woodie.S1,Pivot.M.Woodie.Middle,Pivot.M.Woodie.R1,Pivot.M.Woodie.R2,Pivot.M.Woodie.R3,Pivot.M.Demark.S1,Pivot.M.Demark.Middle,Pivot.M.Demark.R1,open,P.SAR,BB.lower,BB.upper,AO[2],volume,change,low,high
1710369438.724996,0.0,-0.33333333,-0.66666667,40.82737556,40.82737556,30.21799804,21.23083223,21.23083223,11.15860135,-68.26932267,-69.26721895,27.73193958,17.45208742,32.32223376,17.45208742,32.32223376,-136.00211765,-140.40685294,-79.47,-87.7,-48.35170021,-40.21177625,0,55.15893174,0,-73.03850257,0,-53.9950166,0,35.57245994,72993.4,72988.51332678,72972.736,73006.36679618,72992.686,73047.70386543,73073.4625,73072.34747373,73103.04333333,73094.79876862,73123.4026,73106.41580819,73118.0345,73082.1817213,73097.5945,0,73064.665,-1,73068.27683052,1,72987.12888889,62265.91666667,66645.09666667,69048.55333333,71024.27666667,73427.73333333,75403.45666667,79782.63666667,66645.09666667,68317.94342667,69351.42990667,71024.27666667,72697.12342667,73730.60990667,75403.45666667,70247.7355,70649.16033333,71050.58516667,71024.27666667,71853.43483333,72254.85966667,72656.2845,64883.23,66752.025,69262.41,71131.205,73641.59,75510.385,78020.77,67846.825,70423.4125,72226.005,72993.4,73036.93103904,72888.96757342,73257.95742658,-143.741,0.00036,0.0,72993.4,72993.4
1710369498.947971,0.0,-0.46666667,-0.93333333,39.02364184,39.02457953,23.99529809,24.43718743,28.08543196,20.51997687,-75.18552647,-80.82780824,28.56731482,16.59801028,34.33804872,16.59828094,34.33860865,-131.40667647,-138.75626471,-92.74,-99.26,-49.35488291,-42.2929879,0,56.58398077,0,-75.53940233,0,-75.37776933,0,39.20949561,72973.6,72979.14444008,72974.846,72997.46522993,72981.433,73038.94109366,73061.27,73064.78226731,73096.17066667,73089.30023175,73120.9258,73103.40167102,73116.3265,73080.9063501,73096.658,0,73064.665,-1,73060.4651971,-1,72989.00855556,62265.91666667,66645.09666667,69048.55333333,71024.27666667,73427.73333333,75403.45666667,79782.63666667,66645.09666667,68317.94342667,69351.42990667,71024.27666667,72697.12342667,73730.60990667,75403.45666667,70247.7355,70649.16033333,71050.58516667,71024.27666667,71853.43483333,72254.85966667,72656.2845,64883.23,66752.025,69262.41,71131.205,73641.59,75510.385,78020.77,67846.825,70423.4125,72226.005,72973.6,73023.63,72879.43118882,73243.10881118,-140.40685294,0.0009,-1.37e-05,72973.6,72973.6
1710369559.198249,0.09090909,-0.42121212,-0.93333333,36.17592187,36.17678969,15.52517215,21.13578191,19.79674163,23.0376686,-91.33277718,-91.02409549,29.56132914,15.75605903,35.73227104,15.75632168,35.7328667,-126.94370588,-134.20005882,-94.22,-125.49,-52.97195773,-44.84678756,0,55.54347005,1,-85.85321101,0,-112.74910841,0,41.76614293,72940.84,72959.09851561,72974.464,72982.29783275,72968.736,73026.7761369,73047.3785,73054.80940511,73088.27933333,73082.2443134,73117.6024,73099.54695506,73114.5201,73079.19002692,73095.66575,0,73064.665,-1,73054.92977556,-1,72960.52455556,62265.91666667,66645.09666667,69048.55333333,71024.27666667,73427.73333333,75403.45666667,79782.63666667,66645.09666667,68317.94342667,69351.42990667,71024.27666667,72697.12342667,73730.60990667,75403.45666667,70247.7355,70649.16033333,71050.58516667,71024.27666667,71853.43483333,72254.85966667,72656.2845,64883.23,66752.025,69262.41,71131.205,73641.59,75510.385,78020.77,67846.825,70423.4125,72226.005,72940.84,73007.7218,72864.48618157,73230.27081843,-138.75626471,0.0002,-1.371e-05,72940.84,72940.84
1710369619.384955,0.09090909,-0.42121212,-0.93333333,30.05726029,30.05790546,17.9931959,18.41780976,17.46349176,21.78188845,-137.71528681,-146.95936483,33.0101085,12.55914905,48.77078512,12.55932877,48.77148302,-154.58120588,-139.96641177,-151.81,-179.07,-65.15072574,-49.99056095,0,34.77525882,0,-77.84708841,0,-221.3367868,0,44.79739386,72855.98,72905.87012152,72923.966,72946.70864002,72945.07,73003.19850028,73028.88,73036.86068178,73075.31766667,73070.17424036,73111.5254,73093.07692027,73110.4728,73076.1331538,73094.2636,0,73003.74,-1,73006.67731969,-1,72881.67125926,62265.91666667,66645.09666667,69048.55333333,71024.27666667,73427.73333333,75403.45666667,79782.63666667,66645.09666667,68317.94342667,69351.42990667,71024.27666667,72697.12342667,73730.60990667,75403.45666667,70247.7355,70649.16033333,71050.58516667,71024.27666667,71853.43483333,72254.85966667,72656.2845,64883.23,66752.025,69262.41,71131.205,73641.59,75510.385,78020.77,67846.825,70423.4125,72226.005,72855.98,72973.61,72822.22430428,73235.53569572,-134.20005882,0.00065,-1.373e-05,72855.98,72855.98
1710369679.603485,0.09090909,-0.35454545,-0.8,33.48446436,33.48446436,27.19457276,21.75503528,20.60704133,19.28909157,-112.59367012,-128.26035453,34.86967098,12.0355882,46.73764785,12.0355882,46.73764785,-171.65611765,-153.07747059,-110.01,-127.8,-65.25284182,-52.7365647,0,37.80948308,0,-68.37247744,0,-154.43724583,0,51.57884416,72879.99,72902.5789699,72906.086,72938.14971374,72936.47,72993.53324628,73014.8585,73028.18908733,73067.49366667,73063.62067923,73106.6384,73089.32340807,73107.6331,73074.41800893,73093.85785,0,73003.74,-1,72993.27501482,1,72857.78525926,62265.91666667,66645.09666667,69048.55333333,71024.27666667,73427.73333333,75403.45666667,79782.63666667,66645.09666667,68317.94342667,69351.42990667,71024.27666667,72697.12342667,73730.60990667,75403.45666667,70247.7355,70649.16033333,71050.58516667,71024.27666667,71853.43483333,72254.85966667,72656.2845,64883.23,66752.025,69262.41,71131.205,73641.59,75510.385,78020.77,67846.825,70423.4125,72226.005,72879.99,72943.9364,72814.93497195,73214.78202805,-139.96641177,0.00075,0.0,72879.99,72879.99
1710369739.853668,0.0,-0.4,-0.8,31.51896771,31.51744171,24.88562456,23.14276354,23.93562471,20.66871927,-126.79000379,-121.30201733,35.54807484,13.98905223,43.61920504,13.98925986,43.61985247,-189.08017647,-172.37088235,-112.38,-138.4,-70.10232133,-56.57207273,0,36.8851246,0,-77.18825263,0,-174.07355765,0,37.90584172,72851.61,72879.28042438,72876.008,72918.19191454,72922.393,72977.57044278,72997.9205,73015.08344382,73056.94566667,73054.23686174,73099.4338,73084.0651659,73103.8354,73071.92133708,73093.21395,0,73003.74,-1,72974.52011255,1,72829.1107037,62265.91666667,66645.09666667,69048.55333333,71024.27666667,73427.73333333,75403.45666667,79782.63666667,66645.09666667,68317.94342667,69351.42990667,71024.27666667,72697.12342667,73730.60990667,75403.45666667,70247.7355,70649.16033333,71050.58516667,71024.27666667,71853.43483333,72254.85966667,72656.2845,64883.23,66752.025,69262.41,71131.205,73641.59,75510.385,78020.77,67846.825,70423.4125,72226.005,72851.61,72919.010576,72794.16656459,73201.67443541,-153.07747059,0.0006,1.373e-05,72851.61,72851.61
1710369800.123552,0.09090909,-0.35454545,-0.8,33.69385719,33.69385719,26.95368912,25.84624031,26.64940711,23.73069105,-107.5822436,-122.46471416,36.96588463,13.25445414,43.74051348,13.25445414,43.74051348,-198.46176471,-188.82173529,-76.93,-97.66,-69.2476678,-58.91931254,0,41.24106161,0,-69.09270607,0,-127.5765188,0,41.52478418,72866.33,72878.23472736,72864.048,72910.9522276,72916.172,72968.24450492,72981.0065,73006.37485535,73048.32566667,73047.42258266,73093.983,73080.03929162,73100.6419,73070.0206624,73092.91915,0,73003.74,-1,72959.87613298,1,72835.16374074,62265.91666667,66645.09666667,69048.55333333,71024.27666667,73427.73333333,75403.45666667,79782.63666667,66645.09666667,68317.94342667,69351.42990667,71024.27666667,72697.12342667,73730.60990667,75403.45666667,70247.7355,70649.16033333,71050.58516667,71024.27666667,71853.43483333,72254.85966667,72656.2845,64883.23,66752.025,69262.41,71131.205,73641.59,75510.385,78020.77,67846.825,70423.4125,72226.005,72866.33,72900.0,72798.76498259,73163.24801741,-172.37088235,0.00061,0.0,72866.33,72866.33
1710369860.371524,0.09090909,-0.35454545,-0.8,32.5517238,32.55251073,26.19958775,25.93804956,24.96515384,25.18339522,-108.64417247,-115.33657261,38.1461098,12.95771544,42.76125752,12.95792205,42.76193935,-193.36255882,-199.74885294,-58.77,-92.02,-70.84287046,-61.49662583,0,41.04546158,0,-74.44601985,0,-131.54150591,0,39.95863922,72851.23,72865.87981824,72860.078,72897.84884738,72908.786,72955.79999425,72964.313,72995.45477103,73038.20866667,73039.16019764,73088.4592,73075.21551974,73096.8936,73067.69498565,73092.55815,0,73003.74,-1,72952.06669369,1,72834.06977778,62265.91666667,66645.09666667,69048.55333333,71024.27666667,73427.73333333,75403.45666667,79782.63666667,66645.09666667,68317.94342667,69351.42990667,71024.27666667,72697.12342667,73730.60990667,75403.45666667,70247.7355,70649.16033333,71050.58516667,71024.27666667,71853.43483333,72254.85966667,72656.2845,64883.23,66752.025,69262.41,71131.205,73641.59,75510.385,78020.77,67846.825,70423.4125,72226.005,72851.23,72882.104,72793.84619603,73134.77980397,-188.82173529,0.00018,-1.373e-05,72851.23,72851.23
1710369920.561959,-0.18181818,-0.49090909,-0.8,35.98214762,35.98056567,31.58466497,28.58059236,29.19195828,26.93550641,-81.28779433,-99.04548242,39.39540356,12.35225719,42.0658404,12.35245939,42.066529,-182.28832353,-192.20255882,-150.22,-36.61,-67.20883913,-62.35622861,0,51.49031035,0,-64.71878492,0,-80.1710867,0,47.33173958,72873.4,72873.31098994,72863.192,72896.70013133,72895.98,72949.86185421,72952.6915,72988.91770984,73028.39366667,73033.49473814,73083.1708,73071.64929535,73093.7493,73065.98000572,73092.4272,0,73003.74,-1,72944.87819945,1,72854.79407407,62265.91666667,66645.09666667,69048.55333333,71024.27666667,73427.73333333,75403.45666667,79782.63666667,66645.09666667,68317.94342667,69351.42990667,71024.27666667,72697.12342667,73730.60990667,75403.45666667,70247.7355,70649.16033333,71050.58516667,71024.27666667,71853.43483333,72254.85966667,72656.2845,64883.23,66752.025,69262.41,71131.205,73641.59,75510.385,78020.77,67846.825,70423.4125,72226.005,72873.4,72788.15,72798.06439285,73107.31860715,-199.74885294,0.00148,1.372e-05,72873.4,72873.4
1710369980.796111,0.0,-0.46666667,-0.93333333,33.97803323,33.97803323,28.66928658,28.71812532,28.29313108,27.4834144,-91.63973375,-98.29579602,40.63215799,11.54281312,40.56357373,11.54281312,40.56357373,-181.87773529,-185.27617647,-143.86,-174.08,-68.35364864,-63.8602505,0,50.4332586,0,-73.92984542,0,-103.77766615,0,49.41425371,72849.54,72860.0851044,72858.008,72884.57614051,72879.208,72938.25142818,72939.9205,72978.48555791,73015.757,73025.38183414,73075.7492,73066.78797218,73090.0783,73063.59132321,73092.05585,0,73003.74,-1,72937.06472478,-1,72849.87481481,62265.91666667,66645.09666667,69048.55333333,71024.27666667,73427.73333333,75403.45666667,79782.63666667,66645.09666667,68317.94342667,69351.42990667,71024.27666667,72697.12342667,73730.60990667,75403.45666667,70247.7355,70649.16033333,71050.58516667,71024.27666667,71853.43483333,72254.85966667,72656.2845,64883.23,66752.025,69262.41,71131.205,73641.59,75510.385,78020.77,67846.825,70423.4125,72226.005,72849.54,72789.9332,72788.40131207,73091.43968793,-192.20255882,0.00078,0.0,72849.54,72849.54
